stop_id,stop_name,stop_lat,stop_lon,borough,
L06,1 Av,40.730953,-73.981628,Manhattan,1 Av (Manhattan)
119,103 St,40.799446,-73.968379,Manhattan,103 St (Manhattan)
624,103 St,40.7906,-73.947478,Manhattan,103 St (Manhattan)
A18,103 St,40.796092,-73.961454,Manhattan,103 St (Manhattan)
706,103 St-Corona Plaza,40.749865,-73.8627,Queens,103 St-Corona Plaza (Queens)
A63,104 St,40.681711,-73.837683,Queens,104 St (Queens)
J14,104 St,40.695178,-73.84433,Queens,104 St (Queens)
623,110 St,40.79502,-73.94425,Manhattan,110 St (Manhattan)
227,110 St-Malcolm X Plaza,40.799075,-73.951822,Manhattan,110 St-Malcolm X Plaza (Manhattan)
705,111 St,40.75173,-73.855334,Queens,111 St (Queens)
A64,111 St,40.684331,-73.832163,Queens,111 St (Queens)
J13,111 St,40.697418,-73.836345,Queens,111 St (Queens)
226,116 St,40.802098,-73.949625,Manhattan,116 St (Manhattan)
622,116 St,40.798629,-73.941617,Manhattan,116 St (Manhattan)
A16,116 St,40.805085,-73.954882,Manhattan,116 St (Manhattan)
117,116 St-Columbia University,40.807722,-73.96411,Manhattan,116 St-Columbia University (Manhattan)
J12,121 St,40.700492,-73.828294,Queens,121 St (Queens)
116,125 St,40.815581,-73.958372,Manhattan,125 St (Manhattan)
225,125 St,40.807754,-73.945495,Manhattan,125 St (Manhattan)
621,125 St,40.804138,-73.937594,Manhattan,125 St (Manhattan)
A15,125 St,40.811109,-73.952343,Manhattan,125 St (Manhattan)
224,135 St,40.814229,-73.94077,Manhattan,135 St (Manhattan)
A14,135 St,40.817894,-73.947649,Manhattan,135 St (Manhattan)
115,137 St-City College,40.822008,-73.953676,Manhattan,137 St-City College (Manhattan)
416,138 St-Grand Concourse,40.813224,-73.929849,Bronx,138 St-Grand Concourse (Bronx)
132,14 St,40.737826,-74.000201,Manhattan,14 St (Manhattan)
A31,14 St,40.740893,-74.00169,Manhattan,14 St (Manhattan)
D19,14 St,40.738228,-73.996209,Manhattan,14 St (Manhattan)
635,14 St-Union Sq,40.734673,-73.989951,Manhattan,14 St-Union Sq (Manhattan)
L03,14 St-Union Sq,40.734789,-73.99073,Manhattan,14 St-Union Sq (Manhattan)
R20,14 St-Union Sq,40.735736,-73.990568,Manhattan,14 St-Union Sq (Manhattan)
114,145 St,40.826551,-73.95036,Manhattan,145 St (Manhattan)
302,145 St,40.820421,-73.936245,Manhattan,145 St (Manhattan)
A12,145 St,40.824783,-73.944216,Manhattan,145 St (Manhattan)
D13,145 St,40.824783,-73.944216,Manhattan,145 St (Manhattan)
222,149 St-Grand Concourse,40.81841,-73.926718,Bronx,149 St-Grand Concourse (Bronx)
415,149 St-Grand Concourse,40.818375,-73.927351,Bronx,149 St-Grand Concourse (Bronx)
F25,15 St-Prospect Park,40.660365,-73.979493,Brooklyn,15 St-Prospect Park (Brooklyn)
A11,155 St,40.830518,-73.941514,Manhattan,155 St (Manhattan)
D12,155 St,40.830135,-73.938209,Manhattan,155 St (Manhattan)
113,157 St,40.834041,-73.94489,Manhattan,157 St (Manhattan)
414,161 St-Yankee Stadium,40.827994,-73.925831,Bronx,161 St-Yankee Stadium (Bronx)
D11,161 St-Yankee Stadium,40.827905,-73.925651,Bronx,161 St-Yankee Stadium (Bronx)
A10,163 St-Amsterdam Av,40.836013,-73.939892,Manhattan,163 St-Amsterdam Av (Manhattan)
413,167 St,40.835537,-73.9214,Bronx,167 St (Bronx)
D10,167 St,40.833771,-73.91844,Bronx,167 St (Bronx)
A09,168 St,40.840719,-73.939561,Manhattan,168 St (Manhattan)
112,168 St-Washington Hts,40.840556,-73.940133,Manhattan,168 St-Washington Hts (Manhattan)
F02,169 St,40.71047,-73.793604,Queens,169 St (Queens)
412,170 St,40.840075,-73.917791,Bronx,170 St (Bronx)
D09,170 St,40.839306,-73.9134,Bronx,170 St (Bronx)
215,174 St,40.837288,-73.887734,Bronx,174 St (Bronx)
D08,174-175 Sts,40.8459,-73.910136,Bronx,174-175 Sts (Bronx)
A07,175 St,40.847391,-73.939704,Manhattan,175 St (Manhattan)
