origin_station_complex_id,origin_station_complex_name,origin_latitude,origin_longitude,destination_station_complex_id,destination_station_complex_name,destination_latitude,destination_longitude,estimated_average_ridership,origin_borough,destination_borough,distance,proposed_fare,hourly_revenue,proposed_annual_rev_per_ride,current_annual_rev_per_ride,Unnamed: 16,proj_annual_rev,current_annual_rev,pct_winners,Unnamed: 20,2019,2020
31,25 St (R),40.660397,-73.998091,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735066,-73.990416,2.9742,Bronx,Manhattan,5.174828898829116,3.241958935718988,9.642234266615414,5373.865235217862,4807.034725341331,,,,,,,
265,"Grand Av-Newtown (M,R)",40.737015,-73.877223,260,"75 Av (E,F)",40.718331,-73.837324,2.1198,Bronx,Manhattan,2.45582762181492,2.5893986292355806,5.489007214253584,3059.1649434059423,3426.115328753465,,,,,,,
421,"Gun Hill Rd (2,5)",40.87785,-73.866256,9,"57 St-7 Av (N,Q,R,W)",40.764664,-73.980658,0.2724,Bronx,Manhattan,9.845877094998716,4.363010502799692,1.188484060962636,662.372744865855,440.2650323391092,,,,,,,
613,"Lexington Av (N,R,W)/59 St (4,5,6)",40.762593,-73.967613,93,"Chauncey St (J,Z)",40.682893,-73.910456,0.4768,Bronx,Manhattan,6.2676106590600265,3.5042265581744063,1.670815222937557,931.1883110021768,770.6254310546523,,,,,,,
371,Hunts Point Av (6),40.820948,-73.890549,263,"63 Dr-Rego Park (M,R)",40.729846,-73.861604,0.483,Bronx,Manhattan,6.474242592136261,3.5538182221127026,1.7164942012804354,956.6463808757716,780.6461476497421,,,,,,,
433,"Jackson Av (2,5)",40.81649,-73.907807,223,"Lexington Av/63 St (F,Q)",40.764629,-73.966113,0.2374,Bronx,Manhattan,4.705618760049912,3.129348502411979,0.7429073344726038,414.0413712549273,383.6964709152148,,,,,,,
443,Baychester Av (5),40.878663,-73.838591,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,0.4,Bronx,Manhattan,11.524920382685131,4.765980891844432,1.906392356737773,1062.481508671561,646.4978448445069,,,,,,,
180,Kingston-Throop Avs (C),40.679921,-73.940858,449,111 St (7),40.75173,-73.855334,1.4872,Bronx,Manhattan,6.684148297118164,3.60419559130836,5.360159683393793,2987.3548994280186,2403.678987131877,,,,,,,
158,"86 St (C,B)",40.785868,-73.968916,323,Christopher St-Sheridan Sq (1),40.733422,-74.002906,0.2456,Bronx,Manhattan,4.036794925391259,2.968830782093902,0.7291448400822624,406.3711790454098,396.94967673452726,,,,,,,
153,"125 St (A,C,B,D)",40.811109,-73.952343,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,35.5666,Bronx,Manhattan,4.246320937969369,3.0191170251126485,107.37972758537153,59845.48488270082,57484.32562111661,,,,,,,
346,Sutter Av-Rutland Rd (3),40.664717,-73.92261,186,Van Siclen Av (C),40.67271,-73.890358,0.2428,Bronx,Manhattan,1.7781738781088865,2.426761730746133,0.589217748225161,328.3862106652586,392.4241918206157,,,,,,,
403,33 St (6),40.746081,-73.982076,255,169 St (F),40.71047,-73.793604,1.1992,Bronx,Manhattan,10.170575834766543,4.44093820034397,5.325573089852489,2968.0789009927034,1938.200538843832,,,,,,,
187,Shepherd Av (C),40.67413,-73.88075,399,68 St-Hunter College (6),40.768141,-73.96387,0.5692,Bronx,Manhattan,7.819112503925817,3.876587000942196,2.2065533209362984,1229.7689366550055,919.9664332137336,,,,,,,
433,"Jackson Av (2,5)",40.81649,-73.907807,269,"Northern Blvd (M,R)",40.752885,-73.906006,0.2966,Bronx,Manhattan,4.395739787608654,3.054977549026077,0.9061063410411344,504.9963764508924,479.3781519522019,,,,,,,
67,20 Av (D),40.604556,-73.998168,175,"Hoyt-Schermerhorn Sts (A,C,G)",40.688484,-73.985001,1.0246,Bronx,Manhattan,5.839868060568558,3.401568334536454,3.4852469155660506,1942.4177755727733,1656.0042295692044,,,,,,,
98,"Flushing Av (M,J)",40.70026,-73.941126,17,"Prince St (R,W)",40.724329,-73.997702,1.4296,Bronx,Manhattan,3.397841455126717,2.815481949230412,4.025012994619797,2243.243298700719,2310.583297474268,,,,,,,
168,"Spring St (C,E)",40.726227,-74.003739,131,Bushwick Av-Aberdeen St (L),40.682829,-73.905249,0.2114,Bronx,Manhattan,5.9669599070987145,3.4320703777036914,0.7255396778465604,404.3619293767061,341.67411100032194,,,,,,,
447,Flushing-Main St (7),40.7596,-73.83003,9,"57 St-7 Av (N,Q,R,W)",40.764664,-73.980658,1.5236,Bronx,Manhattan,7.890683271906928,3.893763985257663,5.932538807938576,3306.3565118868014,2462.510291012727,,,,,,,
379,Mosholu Pkwy (4),40.87975,-73.884655,259,"Kew Gardens-Union Tpke (E,F)",40.714441,-73.831008,0.2106,Bronx,Manhattan,11.76151569020385,4.822763765648924,1.0156740490456635,566.0612791142375,340.38111531063294,,,,,,,
399,68 St-Hunter College (6),40.768141,-73.96387,88,"Norwood Av (J,Z)",40.68141,-73.880039,0.2302,Bronx,Manhattan,7.428343655177925,3.782802477242702,0.8708011302612699,485.31987413971706,372.0595097080137,,,,,,,
91,Alabama Av (J),40.676992,-73.898654,279,"Sutphin Blvd-Archer Av-JFK Airport (E,J,Z)",40.700486,-73.807969,11.269,Bronx,Manhattan,5.020779403309313,3.204987056794235,36.11699914301423,20128.932851904832,18213.460533881876,,,,,,,
356,"Church Av (2,5)",40.650843,-73.949575,283,Greenpoint Av (G),40.731352,-73.954449,0.247,Bronx,Manhattan,5.568554013092028,3.3364529631420865,0.8241038818960954,459.2942961843257,399.21241919148304,,,,,,,
228,"23 St (F,M)",40.742878,-73.992821,67,20 Av (D),40.604556,-73.998168,2.3104,Bronx,Manhattan,9.56133991572822,4.294721579774773,9.922524737911637,5530.078326272567,3734.171551821872,,,,,,,
310,"96 St (1,2,3)",40.793919,-73.972323,613,"Lexington Av (N,R,W)/59 St (4,5,6)",40.762593,-73.967613,18.6164,Bronx,Manhattan,2.178425158556321,2.522822038053517,46.96586418921949,26175.28446516397,30088.6561969082,,,,,,,
110,Forest Av (M),40.704423,-73.903077,123,Grand St (L),40.711926,-73.94067,0.5494,Bronx,Manhattan,2.0360807387561426,2.4886593773014742,1.36726946188943,762.014448649332,887.9647898939303,,,,,,,
612,"Lexington Av-53 St (E,M)/51 St (6)",40.75733,-73.970487,157,"96 St (C,B)",40.791642,-73.964696,6.7968,Bronx,Manhattan,2.390041980709701,2.573610075370328,17.492312960277047,9748.916060486852,10985.291379597862,,,,,,,
292,Fulton St (G),40.687119,-73.975375,612,"Lexington Av-53 St (E,M)/51 St (6)",40.75733,-73.970487,0.7242,Bronx,Manhattan,4.857913361074372,3.165899206657849,2.2927442054616143,1277.805334147125,1170.48434809098,,,,,,,
384,Burnside Av (4),40.853453,-73.907684,234,East Broadway (F),40.713715,-73.990173,1.4326,Bronx,Manhattan,10.57565288790823,4.538156693097975,6.50136327853216,3623.377024243327,2315.4320313106014,,,,,,,
340,"Grand Army Plaza (2,3)",40.675235,-73.971046,614,"59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833,0.7416,Bronx,Manhattan,6.45307742998384,3.548738583196122,2.631744533298244,1466.7389387574374,1198.607004341716,,,,,,,
159,"81 St-Museum of Natural History (C,B)",40.781433,-73.972143,164,"34 St-Penn Station (A,C,E)",40.752287,-73.993391,9.218,Bronx,Manhattan,2.300390271390809,2.5520936651337944,23.52519940520332,13111.198892242432,14898.54283444166,,,,,,,
611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,31,25 St (R),40.660397,-73.998091,0.7474,Bronx,Manhattan,6.6110106441416105,3.586642554593986,2.680656645303545,1493.9989172041792,1207.981223091961,,,,,,,
167,"W 4 St-Wash Sq (A,C,E,B,D,F,M)",40.732338,-74.000495,291,Clinton-Washington Avs (G),40.688089,-73.966839,2.411,Bronx,Manhattan,3.529097947822017,2.846983507477284,6.864077236527732,3825.526845052946,3896.7657598002656,,,,,,,
340,"Grand Army Plaza (2,3)",40.675235,-73.971046,337,"Nevins St (2,3,4,5)",40.688246,-73.980492,0.2206,Bronx,Manhattan,1.0262252141027024,2.2462940513846488,0.4955324677354535,276.1729934840094,356.5435614317456,,,,,,,
451,Junction Blvd (7),40.749145,-73.869527,84,85 St-Forest Pkwy (J),40.692435,-73.86001,0.2512,Bronx,Manhattan,3.949892607235185,2.9479742257364445,0.7405311255049948,412.71704886142777,406.0006465623503,,,,,,,
316,50 St (1),40.761728,-73.983849,276,"5 Av/53 St (E,M)",40.760167,-73.975224,1.4156,Bronx,Manhattan,0.4640932238005545,2.111382373712133,2.988872888226896,1665.7757592697114,2287.95587290471,,,,,,,
395,103 St (6),40.7906,-73.947478,294,238 St (1),40.884667,-73.90087,0.2522,Bronx,Manhattan,6.941123129487914,3.6658695510770993,0.9245323007816444,515.2656378831608,407.6168911744616,,,,,,,
234,East Broadway (F),40.713715,-73.990173,188,"Euclid Av (A,C)",40.675377,-73.872106,0.5334,Bronx,Manhattan,6.728526075787621,3.614846258189029,1.928158994118028,1074.6126157024637,862.10487610015,,,,,,,
288,Myrtle-Willoughby Avs (G),40.694568,-73.949046,165,"23 St (C,E)",40.745906,-73.998041,3.685,Bronx,Manhattan,4.377800455629707,3.050672109351129,11.241726722958912,6265.303533382619,5955.861395630021,,,,,,,
264,"Woodhaven Blvd (M,R)",40.733106,-73.869229,635,"South Ferry (1)/Whitehall St (R,W)",40.702578,-74.013329,1.6066,Bronx,Manhattan,7.835557556157958,3.8805338134779097,6.23446562473361,3474.6280949546917,2596.658593817962,,,,,,,
323,Christopher St-Sheridan Sq (1),40.733422,-74.002906,388,167 St (4),40.835537,-73.9214,0.4994,Bronx,Manhattan,8.243969429664496,3.978552663119479,1.986889199961868,1107.344470448426,807.1525592883669,,,,,,,
320,23 St (1),40.744081,-73.995657,461,"Queensboro Plaza (7,N,W)",40.750582,-73.940202,0.5038,Bronx,Manhattan,2.9373597722505576,2.704966345340134,1.3627620447823596,759.5023491273181,814.2640355816566,,,,,,,
123,Grand St (L),40.711926,-73.94067,98,"Flushing Av (M,J)",40.70026,-73.941126,0.2916,Bronx,Manhattan,0.8064054839496948,2.1935373161479266,0.6396354813887355,356.4853105206002,471.2969288916456,,,,,,,
236,"Bergen St (F,G)",40.686145,-73.990862,76,Bay Pkwy (N),40.611815,-73.981848,0.7478,Bronx,Manhattan,5.1574571817981845,3.2377897236315643,2.421219155331684,1349.4077291535957,1208.627720936806,,,,,,,
212,"Kingsbridge Rd (B,D)",40.866978,-73.893509,370,Whitlock Av (6),40.826525,-73.886283,0.8408,Bronx,Manhattan,2.8204649913060487,2.676911597913452,2.25074727152563,1254.399362354288,1358.9384698631538,,,,,,,
622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",40.713154,-74.003766,602,"14 St-Union Sq (L,N,Q,R,W,4,5,6)",40.735066,-73.990416,32.2304,Bronx,Manhattan,1.667585810076195,2.400220594418287,77.36006984633917,43114.75726955069,52092.210346191,,,,,,,
337,"Nevins St (2,3,4,5)",40.688246,-73.980492,397,"86 St (4,5,6)",40.779492,-73.955589,1.422,Bronx,Manhattan,6.437967096060957,3.5451121030546293,5.0411494105436825,2809.56226677211,2298.299838422222,,,,,,,
383,183 St (4),40.858407,-73.903879,611,"Times Sq-42 St (N,Q,R,W,S,1,2,3,7)/42 St (A,C,E)",40.755746,-73.987581,2.6338,Bronx,Manhattan,8.335269446660163,4.00046466719844,10.53642384046725,5872.2200907158285,4256.865059378656,,,,,,,
225,"47-50 Sts-Rockefeller Ctr (B,D,F,M)",40.758663,-73.981329,1,"Astoria-Ditmars Blvd (N,W)",40.775036,-73.912034,2.8448,Bronx,Manhattan,3.798574494996477,2.9116578787991543,8.283084333607835,4616.376008916176,4597.892672534133,,,,,,,
403,33 St (6),40.746081,-73.982076,339,"Bergen St (2,3)",40.680829,-73.975098,0.4782,Bronx,Manhattan,4.5233149868638725,3.085595596847329,1.475531814412393,822.3518431182044,772.888173511608,,,,,,,
185,Liberty Av (C),40.674542,-73.896548,237,"Carroll St (F,G)",40.680303,-73.995048,1.0566,Bronx,Manhattan,5.17676091164594,3.2424226187950254,3.425943739018824,1909.3665895122424,1707.724057156765,,,,,,,
627,"Franklin Av (C,S)",40.680988,-73.956337,164,"34 St-Penn Station (A,C,E)",40.752287,-73.993391,0.3,Bronx,Manhattan,5.294748678063214,3.270739682735172,0.9812219048205514,546.86021274199,484.8733836333802,,,,,,,
461,"Queensboro Plaza (7,N,W)",40.750582,-73.940202,55,"Brighton Beach (B,Q)",40.577621,-73.961376,0.2322,Bronx,Manhattan,12.0019992057083,4.880479809369992,1.133247411735712,631.587939105822,375.2919989322363,,,,,,,
460,33 St-Rawson St (7),40.744587,-73.930997,360,Pelham Bay Park (6),40.852462,-73.828121,0.9148,Bronx,Manhattan,9.192902979176504,4.206296715002361,3.84792023488416,2144.544947401878,1478.5405711593874,,,,,,,
268,"65 St (M,R)",40.749669,-73.898453,433,"Jackson Av (2,5)",40.81649,-73.907807,0.4482,Bronx,Manhattan,4.642799861568854,3.114271966776525,1.3958166955092386,777.9245564178484,724.40083514827,,,,,,,
319,28 St (1),40.747215,-73.993365,409,Spring St (6),40.722301,-73.997141,0.7404,Bronx,Manhattan,1.7327250266692429,2.415854006400618,1.7886983063390176,996.887586314823,1196.6675108071822,,,,,,,
160,"72 St (C,B)",40.775594,-73.97641,316,50 St (1),40.761728,-73.983849,0.9228,Bronx,Manhattan,1.0341225214504135,2.248189405148099,2.0746291830706656,1156.244220436815,1491.470528056277,,,,,,,
316,50 St (1),40.761728,-73.983849,434,"3 Av-149 St (2,5)",40.816109,-73.917757,0.4334,Bronx,Manhattan,5.106077368048665,3.22545856833168,1.39791374351495,779.0932952249415,700.4804148890233,,,,,,,
45,Beverley Rd (Q),40.644031,-73.964492,318,"34 St-Penn Station (1,2,3)",40.750373,-73.991057,0.2366,Bronx,Manhattan,7.478224565818471,3.7947738957964328,0.897843503745436,500.3912846371253,382.4034752255259,,,,,,,
254,Jamaica-179 St (F),40.712646,-73.783817,607,"34 St-Herald Sq (B,D,F,M,N,Q,R,W)",40.749643,-73.987887,17.6294,Bronx,Manhattan,10.98624997851677,4.636699994844025,81.74223888910326,45557.05282290527,28493.42276475437,,,,,,,
150,155 St (C),40.830518,-73.941514,264,"Woodhaven Blvd (M,R)",40.733106,-73.869229,0.2202,Bronx,Manhattan,7.720301977100119,3.8528724745040286,0.8484025188857871,472.8365517416487,355.89706358690114,,,,,,,
1,"Astoria-Ditmars Blvd (N,W)",40.775036,-73.912034,162,"50 St (C,E)",40.762456,-73.985984,0.2642,Bronx,Manhattan,3.966111300848435,2.9518667122036244,0.7798831853641975,434.6489642831232,427.0118265197968,,,,,,,
32,"36 St (D,N,R)",40.655144,-74.003549,627,"Franklin Av (C,S)",40.680988,-73.956337,0.5232,Bronx,Manhattan,3.051333268930188,2.732319984543245,1.4295498159130258,796.7248923152007,845.619181056615,,,,,,,
13,"28 St (R,W)",40.745494,-73.988691,20,"City Hall (R,W)",40.713282,-74.006978,3.1546,Bronx,Manhattan,2.4228826065238485,2.5814918255657235,8.143574112929631,4538.623373569417,5098.605253366204,,,,,,,
614,"59 St-Columbus Circle (A,B,C,D,1)",40.768272,-73.981833,216,"174-175 Sts (B,D)",40.8459,-73.910136,10.0978,Bronx,Manhattan,6.5443352310111,3.570640455442664,36.05561319096893,20094.720881472924,16320.514844177156,,,,,,,
316,50 St (1),40.761728,-73.983849,152,"135 St (C,B)",40.817894,-73.947649,0.2398,Bronx,Manhattan,4.318124640062161,3.0363499136149183,0.7281167092848575,405.7981752999438,387.575457984282,,,,,,,
424,"Pelham Pkwy (2,5)",40.857192,-73.867615,169,"Canal St (A,C,E)",40.720824,-74.005229,0.2466,Bronx,Manhattan,11.857610567852864,4.845826536284687,1.1949808238478037,665.993557972516,398.56592134663856,,,,,,,
606,"Court Sq (E,G,M,7)",40.747141,-73.945032,471,34 St-Hudson Yards (7),40.755882,-74.00191,4.859,Bronx,Manhattan,3.0377552065669717,2.7290612495760733,13.26050861169014,7390.422619827328,7853.332570248648,,,,,,,
